Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-06 18:06:48,26.4,19.2,1158,765,5
2019-05-06 18:36:59,26,20.2,1311,766,5
2019-05-06 19:07:10,26,20.8,965,766,5
2019-05-06 19:37:21,25.7,21.1,427,768,4
2019-05-06 20:07:32,25.4,22.2,325,773,16
2019-05-06 20:37:43,25.1,23.7,160,772,16
2019-05-06 21:07:54,24.6,25.5,80,770,15
2019-05-06 21:38:05,24.3,26.3,12,775,16
2019-05-06 22:08:16,24,25.6,2,776,17
2019-05-06 22:38:27,23.5,26,1,780,17
2019-05-06 23:08:38,23.2,26.2,1,794,17
2019-05-06 23:38:52,22.8,26.4,1,793,8
2019-05-07 00:09:03,22.5,26.4,1,788,8
2019-05-07 00:39:14,22.3,26.1,1,795,9
2019-05-07 01:09:25,22.2,25.9,1,796,10
2019-05-07 01:39:36,22.1,25.7,1,800,8
2019-05-07 02:09:47,21.9,25.6,1,800,6
2019-05-07 02:39:58,21.9,25.3,1,802,-4
2019-05-07 03:10:10,21.8,25.1,1,806,-3137
2019-05-07 03:40:21,21.7,25,1,806,-2
2019-05-07 04:10:32,21.6,25.2,1,811,19
2019-05-07 04:40:43,21.6,25.1,3,812,18
2019-05-07 05:10:54,21.5,25.3,21,814,17
2019-05-07 05:41:05,21.5,25.5,79,813,14
2019-05-07 06:11:16,21.5,25.4,183,814,19
2019-05-07 06:41:27,21.4,25.5,339,807,19
2019-05-07 07:11:38,21.6,25.6,484,810,20
2019-05-07 07:41:49,21.7,25.5,491,811,19
2019-05-07 08:12:00,21.8,25.6,764,811,19
2019-05-07 08:42:11,21.9,25.6,1212,810,19
2019-05-07 09:12:22,22.3,25.6,1435,805,19
2019-05-07 09:42:33,22.7,25.3,1454,806,6
2019-05-07 10:12:44,23,25,2030,798,6
2019-05-07 10:42:54,23.3,24.8,2285,805,5
2019-05-07 11:13:05,24,24.2,2641,810,3
2019-05-07 11:43:16,24.4,24.3,2321,804,3
2019-05-07 12:13:27,24.5,24,2235,800,2
2019-05-07 12:43:38,25.1,24.3,2382,800,1
2019-05-07 13:13:50,25.3,24.9,1313,795,2
2019-05-07 13:44:01,24.9,25.8,838,795,-3125
2019-05-07 14:14:12,24.9,26.3,4216,796,1
